Date,Month,Day,Price,Open,High,Low,Volume,Chg%
"May 12, 2021",May,Wed,1746.6,1799,1829,1732.8,1.63M,-0.0255
"May 11, 2021",May,Tue,1792.3,1725,1800.4,1723.05,1.30M,0.025
"May 10, 2021",May,Mon,1748.65,1700,1757.5,1690.95,1.03M,0.0326
"May 07, 2021",May,Fri,1693.4,1700,1709.85,1681.5,831.10K,-0.0184
"May 06, 2021",May,Thu,1725.2,1735.5,1744,1716.05,477.24K,0.0009
"May 05, 2021",May,Wed,1723.65,1775,1782.95,1715,1.22M,-0.0263
"May 04, 2021",May,Tue,1770.2,1785,1789.05,1761,586.04K,0.0026
"May 03, 2021",May,Mon,1765.55,1761,1781.95,1753,773.32K,-0.0144
"Apr 30, 2021",Apr,Fri,1791.4,1784.9,1809.15,1757.75,756.66K,-0.0006
"Apr 29, 2021",Apr,Thu,1792.55,1801,1818,1765.3,1.21M,-0.0018
"Apr 28, 2021",Apr,Wed,1795.85,1800,1818,1775,1.54M,0.0015
"Apr 27, 2021",Apr,Tue,1793.2,1730,1802.6,1714.65,2.26M,0.036
"Apr 26, 2021",Apr,Mon,1730.85,1721.9,1739.25,1718,791.76K,0.011
"Apr 23, 2021",Apr,Fri,1712,1670,1717.9,1661,1.63M,0.0233
"Apr 22, 2021",Apr,Thu,1673.05,1614,1681,1614,988.50K,0.0201
"Apr 20, 2021",Apr,Tue,1640.05,1616,1648.95,1616,1.14M,0.017
"Apr 19, 2021",Apr,Mon,1612.7,1550,1620,1550,1.19M,-0.0091
"Apr 16, 2021",Apr,Fri,1627.45,1611,1638.1,1606,968.08K,0.012
"Apr 15, 2021",Apr,Thu,1608.1,1592.1,1632.9,1589,1.16M,-0.0022
"Apr 13, 2021",Apr,Tue,1611.65,1582.05,1623,1582.05,1.23M,0.0187
"Apr 12, 2021",Apr,Mon,1582,1680.2,1697.7,1573.45,2.81M,-0.086
"Apr 09, 2021",Apr,Fri,1730.9,1730,1753.7,1715,1.25M,0.0026
"Apr 08, 2021",Apr,Thu,1726.4,1698.8,1739.2,1680,1.94M,0.0102
"Apr 07, 2021",Apr,Wed,1709,1684.2,1721.4,1673,1.47M,0.0121
"Apr 06, 2021",Apr,Tue,1688.55,1702.65,1719,1683,1.01M,-0.0083
"Apr 05, 2021",Apr,Mon,1702.65,1726,1737.95,1677.4,1.62M,-0.028
"Apr 01, 2021",Apr,Thu,1751.75,1760,1779.45,1750,944.95K,-0.003
"Mar 31, 2021",Mar,Wed,1757,1758.7,1774.95,1735,1.09M,0.001
"Mar 30, 2021",Mar,Tue,1755.25,1740.4,1774,1740.4,1.47M,0.0045
"Mar 26, 2021",Mar,Fri,1747.4,1750,1770,1718.3,1.78M,0.0148
"Mar 25, 2021",Mar,Thu,1721.85,1769,1769,1705,2.17M,-0.022
"Mar 24, 2021",Mar,Wed,1760.55,1829.7,1836.8,1750.4,2.09M,-0.0443
"Mar 23, 2021",Mar,Tue,1842.15,1848.5,1861,1831,1.32M,0.0022
"Mar 22, 2021",Mar,Mon,1838.05,1857,1879,1804.15,2.25M,-0.0094
"Mar 19, 2021",Mar,Fri,1855.45,1750,1875,1703,4.91M,0.0503
"Mar 18, 2021",Mar,Thu,1766.65,1838,1860,1740,3.67M,-0.0314
"Mar 17, 2021",Mar,Wed,1824,1905,1919.45,1801,2.36M,-0.042
"Mar 16, 2021",Mar,Tue,1904.05,1928.6,1939.7,1890,2.21M,-0.0221
"Mar 15, 2021",Mar,Mon,1947.05,2006.45,2006.45,1915,2.11M,-0.0203
"Mar 12, 2021",Mar,Fri,1987.35,2030,2063.7,1965,2.50M,-0.0154
"Mar 10, 2021",Mar,Wed,2018.5,2045,2047.8,2007,1.70M,-0.004
"Mar 09, 2021",Mar,Tue,2026.7,2050,2073,2015,4.78M,0.0056
"Mar 08, 2021",Mar,Mon,2015.45,1960,2027,1926.6,4.18M,0.0384
"Mar 05, 2021",Mar,Fri,1940.85,1969.95,1998.4,1896,3.60M,-0.0103
"Mar 04, 2021",Mar,Thu,1961.1,1885,2015.8,1870,9.59M,0.0398
"Mar 03, 2021",Mar,Wed,1886.1,1899,1930,1880,1.83M,-0.0061
"Mar 02, 2021",Mar,Tue,1897.65,1970.5,1988,1870.05,5.56M,-0.021
"Mar 01, 2021",Mar,Mon,1938.45,1787.95,1974.85,1775.55,6.62M,0.1016
"Feb 26, 2021",Feb,Fri,1759.65,1695,1809.95,1680,5.13M,0.0189
"Feb 25, 2021",Feb,Thu,1726.95,1685,1739.75,1670,1.91M,0.0307
"Feb 24, 2021",Feb,Wed,1675.45,1638,1697,1630.1,647.09K,0.0261
"Feb 23, 2021",Feb,Tue,1632.9,1614.95,1642.1,1592.8,937.49K,0.0106
"Feb 22, 2021",Feb,Mon,1615.85,1675,1675,1598,1.72M,-0.0355
"Feb 19, 2021",Feb,Fri,1675.4,1702.95,1715.25,1655.95,997.36K,-0.0152
"Feb 18, 2021",Feb,Thu,1701.2,1686.05,1726,1686.05,936.10K,0.0015
"Feb 17, 2021",Feb,Wed,1698.65,1672,1730,1657,2.09M,0.0146
"Feb 16, 2021",Feb,Tue,1674.15,1718,1733.75,1662,1.78M,-0.0227
"Feb 15, 2021",Feb,Mon,1713.1,1734,1745,1682,2.92M,-0.0109
"Feb 12, 2021",Feb,Fri,1731.9,1627.45,1767.7,1626,7.30M,0.0697
"Feb 11, 2021",Feb,Thu,1619,1626,1636.95,1611.75,1.12M,0.0004
"Feb 10, 2021",Feb,Wed,1618.4,1648.4,1674,1611.1,3.05M,-0.0142
"Feb 09, 2021",Feb,Tue,1641.75,1624,1688.9,1592,5.32M,0.0142
"Feb 08, 2021",Feb,Mon,1618.7,1569.8,1629,1562,4.85M,0.041
"Feb 05, 2021",Feb,Fri,1555,1549.7,1568,1515,3.01M,0.0238
"Feb 04, 2021",Feb,Thu,1518.9,1474.8,1540,1464.25,2.21M,0.0337
"Feb 03, 2021",Feb,Wed,1469.35,1477.4,1498,1462.15,1.86M,-0.0008
"Feb 02, 2021",Feb,Tue,1470.5,1468,1478,1461.35,1.06M,0.0073
"Feb 01, 2021",Feb,Mon,1459.9,1469.75,1497.7,1451.15,2.44M,0.0026
"Jan 29, 2021",Jan,Fri,1456.1,1468,1478.95,1445.2,1.40M,-0.0007
"Jan 28, 2021",Jan,Thu,1457.05,1436.5,1498.7,1433,2.83M,0.0131
"Jan 27, 2021",Jan,Wed,1438.25,1432.75,1443.65,1422.25,823.11K,0.0084
"Jan 25, 2021",Jan,Mon,1426.25,1433,1445.45,1417.05,699.48K,-0.0043
"Jan 22, 2021",Jan,Fri,1432.45,1454,1462.45,1423.1,882.01K,-0.0152
"Jan 21, 2021",Jan,Thu,1454.5,1460,1483.15,1450,1.21M,0.0012
"Jan 20, 2021",Jan,Wed,1452.7,1450,1458.4,1437,574.12K,0.0064
"Jan 19, 2021",Jan,Tue,1443.5,1438,1447.85,1432.8,577.50K,0.0142
"Jan 18, 2021",Jan,Mon,1423.35,1448.45,1461.85,1417.7,1.27M,-0.0124
"Jan 15, 2021",Jan,Fri,1441.2,1468.45,1470,1437,996.64K,-0.015
"Jan 14, 2021",Jan,Thu,1463.1,1468.45,1482.15,1452.45,1.12M,0.0013
"Jan 13, 2021",Jan,Wed,1461.15,1492,1493.55,1442.2,1.18M,-0.013
"Jan 12, 2021",Jan,Tue,1480.45,1460.7,1497,1454,1.80M,0.0135
"Jan 11, 2021",Jan,Mon,1460.7,1482.35,1484,1452,1.03M,-0.0073
"Jan 08, 2021",Jan,Fri,1471.5,1504,1509.8,1460.75,1.57M,-0.0121
"Jan 07, 2021",Jan,Thu,1489.45,1494,1509.9,1480,1.77M,0.004
"Jan 06, 2021",Jan,Wed,1483.45,1461.95,1514.9,1449,4.24M,0.0183
"Jan 05, 2021",Jan,Tue,1456.85,1443.7,1463,1431.45,1.24M,0.004
"Jan 04, 2021",Jan,Mon,1451.05,1462,1468,1445,1.05M,0.0042
"Jan 01, 2021",Jan,Fri,1445,1447,1459,1440.1,1.16M,0.005
"Dec 31, 2020",Dec,Thu,1437.8,1445,1465,1430.75,2.64M,0.002
